photo,row,col,gt,pred,conf,threshold,fg_frac,comps,largest_frac,tiny_removed,grid_removed,corner_removed,merged
3bor2sty6q0d1.webp,8,1,8,9,0.8408,adaptive,0.1754,4,0.0921,3,0,0,0
3bor2sty6q0d1.webp,8,2,5,5,0.5676,adaptive,0.1543,4,0.0944,3,0,0,0
3bor2sty6q0d1.webp,8,3,9,9,0.9978,adaptive,0.1612,5,0.1393,4,0,0,0
3bor2sty6q0d1.webp,8,4,0,0,0.9569,adaptive,0.0875,6,0.0,6,0,0,0
3bor2sty6q0d1.webp,8,5,0,0,0.9569,adaptive,0.0719,22,0.0,22,0,0,0
3bor2sty6q0d1.webp,8,6,0,0,0.9569,adaptive,0.0932,29,0.0076,26,0,0,0
3bor2sty6q0d1.webp,8,7,1,7,0.5537,adaptive,0.1538,27,0.0383,24,1,0,0
3bor2sty6q0d1.webp,8,8,6,1,0.7672,adaptive,0.2254,43,0.068,41,0,0,0
3bor2sty6q0d1.webp,8,9,3,3,0.999,adaptive,0.2241,32,0.1157,31,0,0,0
3bor2sty6q0d1.webp,9,1,7,7,0.9976,adaptive,0.1469,1,0.0537,0,0,0,0
3bor2sty6q0d1.webp,9,2,4,5,0.4032,adaptive,0.1416,1,0.0645,0,0,0,0
3bor2sty6q0d1.webp,9,3,6,5,0.5372,adaptive,0.1915,3,0.14,2,0,0,0
3bor2sty6q0d1.webp,9,4,9,9,0.9912,adaptive,0.2424,4,0.138,3,0,0,0
3bor2sty6q0d1.webp,9,5,1,7,0.8697,adaptive,0.155,22,0.0386,20,0,0,1
3bor2sty6q0d1.webp,9,6,3,3,0.9991,adaptive,0.2355,17,0.1157,16,0,0,0
3bor2sty6q0d1.webp,9,7,2,2,0.9598,adaptive,0.2371,11,0.1205,9,1,0,0
3bor2sty6q0d1.webp,9,8,8,2,0.9783,adaptive,0.2273,23,0.1047,20,0,0,1
3bor2sty6q0d1.webp,9,9,5,2,0.7935,adaptive,0.2243,27,0.1226,25,0,0,0
w9y7j9hnxszc1.webp,1,1,6,6,0.9917,adaptive,0.1738,1,0.1148,0,0,0,0
w9y7j9hnxszc1.webp,1,2,8,8,0.9992,adaptive,0.1855,1,0.1283,0,0,0,0
w9y7j9hnxszc1.webp,1,4,0,0,0.9569,adaptive,0.0744,0,0.0,0,0,0,0
w9y7j9hnxszc1.webp,1,5,9,9,0.9996,adaptive,0.1814,1,0.1104,0,0,0,0
w9y7j9hnxszc1.webp,1,6,0,0,0.9569,adaptive,0.0579,0,0.0,0,0,0,0
w9y7j9hnxszc1.webp,1,9,3,3,0.9984,adaptive,0.1669,1,0.1088,0,0,0,0
w9y7j9hnxszc1.webp,2,2,9,9,0.999,adaptive,0.1667,1,0.1095,0,0,0,0
w9y7j9hnxszc1.webp,2,3,0,0,0.9569,adaptive,0.0429,0,0.0,0,0,0,0
w9y7j9hnxszc1.webp,2,4,6,6,0.9919,adaptive,0.1848,1,0.1127,0,0,0,0
w9y7j9hnxszc1.webp,2,5,5,5,0.9972,adaptive,0.168,1,0.1093,0,0,0,0
w9y7j9hnxszc1.webp,2,7,8,8,0.9993,adaptive,0.1995,1,0.1283,0,0,0,0
w9y7j9hnxszc1.webp,2,8,2,2,0.9979,adaptive,0.1618,1,0.1028,0,0,0,0
w9y7j9hnxszc1.webp,3,2,5,5,0.9989,adaptive,0.1694,1,0.112,0,0,0,0
w9y7j9hnxszc1.webp,3,6,7,7,0.999,adaptive,0.1345,1,0.0755,0,0,0,0
w9y7j9hnxszc1.webp,3,7,6,6,0.9944,adaptive,0.1837,1,0.1125,0,0,0,0
w9y7j9hnxszc1.webp,3,8,9,9,0.9996,adaptive,0.1697,1,0.1107,0,0,0,0
w9y7j9hnxszc1.webp,3,9,0,0,0.9569,adaptive,0.059,0,0.0,0,0,0,0
w9y7j9hnxszc1.webp,4,1,0,0,0.9569,adaptive,0.0735,0,0.0,0,0,0,0
w9y7j9hnxszc1.webp,4,2,7,7,0.9998,adaptive,0.1458,1,0.0753,0,0,0,0
w9y7j9hnxszc1.webp,4,3,1,1,0.8131,adaptive,0.1141,1,0.0686,0,0,0,0
w9y7j9hnxszc1.webp,4,5,6,6,0.9881,adaptive,0.194,1,0.1116,0,0,0,0
w9y7j9hnxszc1.webp,4,7,0,0,0.9569,adaptive,0.0877,0,0.0,0,0,0,0
w9y7j9hnxszc1.webp,4,8,8,8,0.998,adaptive,0.1993,1,0.1263,0,0,0,0
w9y7j9hnxszc1.webp,4,9,9,9,0.9994,adaptive,0.1834,1,0.1107,0,0,0,0
w9y7j9hnxszc1.webp,5,1,0,0,0.9569,adaptive,0.0579,0,0.0,0,0,0,0
w9y7j9hnxszc1.webp,5,2,2,2,0.9584,adaptive,0.1462,1,0.1012,0,0,0,0
w9y7j9hnxszc1.webp,5,3,0,0,0.9569,adaptive,0.045,0,0.0,0,0,0,0
w9y7j9hnxszc1.webp,5,5,0,0,0.9569,adaptive,0.0597,0,0.0,0,0,0,0
w9y7j9hnxszc1.webp,5,6,8,8,0.9972,adaptive,0.1841,1,0.1247,0,0,0,0
w9y7j9hnxszc1.webp,5,7,0,0,0.9569,adaptive,0.0716,0,0.0,0,0,0,0
w9y7j9hnxszc1.webp,5,8,0,0,0.9569,adaptive,0.0597,0,0.0,0,0,0,0
w9y7j9hnxszc1.webp,5,9,0,0,0.9569,adaptive,0.0716,0,0.0,0,0,0,0
w9y7j9hnxszc1.webp,6,2,0,0,0.9569,adaptive,0.0556,0,0.0,0,0,0,0
w9y7j9hnxszc1.webp,6,4,3,3,0.9955,adaptive,0.1807,1,0.1081,0,0,0,0
w9y7j9hnxszc1.webp,6,5,0,0,0.9569,adaptive,0.0595,0,0.0,0,0,0,0
w9y7j9hnxszc1.webp,6,7,2,2,0.9786,adaptive,0.1717,1,0.0999,0,0,0,0
w9y7j9hnxszc1.webp,6,8,0,0,0.9569,adaptive,0.0597,0,0.0,0,0,0,0
w9y7j9hnxszc1.webp,6,9,0,0,0.9569,adaptive,0.0684,0,0.0,0,0,0,0
w9y7j9hnxszc1.webp,7,1,0,0,0.9569,adaptive,0.0739,0,0.0,0,0,0,0
w9y7j9hnxszc1.webp,7,3,0,0,0.9569,adaptive,0.0691,0,0.0,0,0,0,0
w9y7j9hnxszc1.webp,7,4,0,0,0.9569,adaptive,0.0888,0,0.0,0,0,0,0
w9y7j9hnxszc1.webp,7,5,0,0,0.9569,adaptive,0.0721,0,0.0,0,0,0,0
w9y7j9hnxszc1.webp,7,6,0,0,0.9569,adaptive,0.0723,0,0.0,0,0,0,0
w9y7j9hnxszc1.webp,7,7,4,4,0.9417,adaptive,0.1938,1,0.1049,0,0,0,0
w9y7j9hnxszc1.webp,7,9,2,2,0.9444,adaptive,0.1873,1,0.1047,0,0,0,0
w9y7j9hnxszc1.webp,8,1,0,0,0.9569,adaptive,0.0714,0,0.0,0,0,0,0
w9y7j9hnxszc1.webp,8,3,0,0,0.9569,adaptive,0.0565,0,0.0,0,0,0,0
w9y7j9hnxszc1.webp,8,6,6,6,0.9501,adaptive,0.1843,1,0.1097,0,0,0,0
w9y7j9hnxszc1.webp,8,8,7,7,0.9998,adaptive,0.1508,1,0.0785,0,0,0,0
w9y7j9hnxszc1.webp,8,9,8,8,0.9825,adaptive,0.211,1,0.1249,0,0,0,0
w9y7j9hnxszc1.webp,9,1,2,2,0.907,adaptive,0.1756,1,0.1045,0,0,0,0
w9y7j9hnxszc1.webp,9,2,0,0,0.9569,adaptive,0.0705,0,0.0,0,0,0,0
w9y7j9hnxszc1.webp,9,3,0,0,0.9569,adaptive,0.045,0,0.0,0,0,0,0
w9y7j9hnxszc1.webp,9,4,0,0,0.9569,adaptive,0.0852,0,0.0,0,0,0,0
w9y7j9hnxszc1.webp,9,5,0,0,0.9569,adaptive,0.0721,0,0.0,0,0,0,0
w9y7j9hnxszc1.webp,9,6,0,0,0.9569,adaptive,0.0595,0,0.0,0,0,0,0
w9y7j9hnxszc1.webp,9,8,1,1,0.7872,adaptive,0.1481,1,0.0618,0,0,0,0
kt8h5700va8c1.webp,1,1,5,5,0.999,adaptive,0.1724,1,0.0838,0,0,0,0
kt8h5700va8c1.webp,1,2,2,2,0.9952,adaptive,0.1745,1,0.082,0,0,0,0
kt8h5700va8c1.webp,1,3,7,7,0.998,adaptive,0.146,1,0.0611,0,0,0,0
kt8h5700va8c1.webp,1,5,3,3,0.9986,adaptive,0.1678,1,0.0817,0,0,0,0
kt8h5700va8c1.webp,1,6,4,4,0.9975,adaptive,0.1736,1,0.0751,0,0,0,0
kt8h5700va8c1.webp,2,1,4,4,0.9967,adaptive,0.1483,1,0.0758,0,0,0,0
kt8h5700va8c1.webp,2,2,9,9,0.9948,adaptive,0.1747,1,0.0918,0,0,0,0
kt8h5700va8c1.webp,2,5,2,2,0.9959,adaptive,0.1683,1,0.082,0,0,0,0
kt8h5700va8c1.webp,2,6,1,1,0.9905,adaptive,0.1428,1,0.0579,0,0,0,0
kt8h5700va8c1.webp,2,7,7,7,0.9989,adaptive,0.1618,1,0.0636,0,0,0,0
kt8h5700va8c1.webp,2,9,5,5,0.9974,adaptive,0.1439,1,0.0859,0,0,0,0
kt8h5700va8c1.webp,3,2,1,1,0.9837,adaptive,0.1483,1,0.0624,0,0,0,0
kt8h5700va8c1.webp,3,4,9,9,0.9935,adaptive,0.1894,1,0.0911,0,0,0,0
kt8h5700va8c1.webp,3,5,5,5,0.9986,adaptive,0.1715,1,0.0843,0,0,0,0
kt8h5700va8c1.webp,3,6,7,7,0.9985,adaptive,0.1506,1,0.0652,0,0,0,0
kt8h5700va8c1.webp,4,1,1,1,0.9962,adaptive,0.1455,1,0.059,0,0,0,0
kt8h5700va8c1.webp,4,2,7,7,0.9987,adaptive,0.149,1,0.0634,0,0,0,0
kt8h5700va8c1.webp,4,4,5,5,0.9993,adaptive,0.1843,1,0.0872,0,0,0,0
kt8h5700va8c1.webp,4,5,8,8,0.9915,adaptive,0.1924,1,0.0925,0,0,0,0
kt8h5700va8c1.webp,4,6,2,2,0.9972,adaptive,0.1823,1,0.0831,0,0,0,0
kt8h5700va8c1.webp,4,8,9,9,0.9934,adaptive,0.1756,1,0.0902,0,0,0,0
kt8h5700va8c1.webp,4,9,4,4,0.9976,adaptive,0.1485,1,0.0751,0,0,0,0
kt8h5700va8c1.webp,5,3,2,2,0.9945,adaptive,0.1655,1,0.0829,0,0,0,0
kt8h5700va8c1.webp,5,4,1,1,0.9959,adaptive,0.1472,1,0.0595,0,0,0,0
kt8h5700va8c1.webp,5,6,3,3,0.9978,adaptive,0.155,1,0.0822,0,0,0,0
kt8h5700va8c1.webp,5,8,7,7,0.9986,adaptive,0.1247,1,0.0647,0,0,0,0
kt8h5700va8c1.webp,6,4,7,7,0.999,adaptive,0.1481,1,0.0611,0,0,0,0
kt8h5700va8c1.webp,6,6,6,6,0.9227,adaptive,0.1609,1,0.09,0,0,0,0
kt8h5700va8c1.webp,7,2,3,3,0.9979,adaptive,0.1781,1,0.0817,0,0,0,0
kt8h5700va8c1.webp,7,4,2,2,0.9956,adaptive,0.1997,2,0.0817,0,1,0,0
kt8h5700va8c1.webp,7,5,7,7,0.9985,adaptive,0.1616,1,0.0631,0,0,0,0
kt8h5700va8c1.webp,7,6,8,8,0.9904,adaptive,0.1837,1,0.0941,0,0,0,0
kt8h5700va8c1.webp,7,8,1,1,0.9965,adaptive,0.1449,1,0.0599,0,0,0,0
kt8h5700va8c1.webp,8,1,7,7,0.9988,adaptive,0.1607,1,0.0613,0,0,0,0
kt8h5700va8c1.webp,8,3,1,1,0.9923,adaptive,0.1327,1,0.0599,0,0,0,0
kt8h5700va8c1.webp,8,4,3,3,0.9983,adaptive,0.1697,1,0.081,0,0,0,0
kt8h5700va8c1.webp,8,5,6,6,0.9546,adaptive,0.1687,1,0.0909,0,0,0,0
kt8h5700va8c1.webp,9,1,2,2,0.995,adaptive,0.183,1,0.0831,0,0,0,0
kt8h5700va8c1.webp,9,4,4,4,0.9979,adaptive,0.177,1,0.0778,0,0,0,0
kt8h5700va8c1.webp,9,5,1,1,0.9957,adaptive,0.1476,1,0.0597,0,0,0,0
kt8h5700va8c1.webp,9,9,7,7,0.9982,adaptive,0.1515,1,0.0652,0,0,0,0
ju8gg6b80v0d1.webp,1,1,0,0,0.9569,adaptive,0.0588,0,0.0,0,0,0,0
ju8gg6b80v0d1.webp,1,2,0,0,0.9569,adaptive,0.0303,0,0.0,0,0,0,0
ju8gg6b80v0d1.webp,1,3,0,0,0.9569,adaptive,0.0303,0,0.0,0,0,0,0
ju8gg6b80v0d1.webp,1,4,2,2,0.9881,adaptive,0.1623,1,0.0886,0,0,0,0
ju8gg6b80v0d1.webp,1,5,0,0,0.9569,adaptive,0.0436,0,0.0,0,0,0,0
ju8gg6b80v0d1.webp,1,6,0,0,0.9569,adaptive,0.0448,0,0.0,0,0,0,0
ju8gg6b80v0d1.webp,1,7,0,0,0.9569,adaptive,0.0732,0,0.0,0,0,0,0
ju8gg6b80v0d1.webp,1,8,0,0,0.9569,adaptive,0.0438,0,0.0,0,0,0,0
ju8gg6b80v0d1.webp,1,9,0,0,0.9569,adaptive,0.0438,0,0.0,0,0,0,0
ju8gg6b80v0d1.webp,2,1,0,0,0.9569,adaptive,0.0303,0,0.0,0,0,0,0
ju8gg6b80v0d1.webp,2,2,0,0,0.9569,adaptive,0.0009,0,0.0,0,0,0,0
ju8gg6b80v0d1.webp,2,3,8,8,0.9993,adaptive,0.11,1,0.109,0,0,0,0
ju8gg6b80v0d1.webp,2,4,0,0,0.9569,adaptive,0.0455,0,0.0,0,0,0,0
ju8gg6b80v0d1.webp,2,5,0,0,0.9569,adaptive,0.0149,0,0.0,0,0,0,0
ju8gg6b80v0d1.webp,2,6,7,7,0.9987,adaptive,0.0845,1,0.0693,0,0,0,0
ju8gg6b80v0d1.webp,2,7,3,3,0.9989,adaptive,0.1251,1,0.0797,0,0,0,0
ju8gg6b80v0d1.webp,2,8,0,0,0.9569,adaptive,0.0158,0,0.0,0,0,0,0
ju8gg6b80v0d1.webp,2,9,0,0,0.9569,adaptive,0.0158,0,0.0,0,0,0,0
ju8gg6b80v0d1.webp,3,1,6,6,0.9863,adaptive,0.1297,1,0.0994,0,0,0,0
ju8gg6b80v0d1.webp,3,2,7,7,0.9993,adaptive,0.0696,1,0.0686,0,0,0,0
ju8gg6b80v0d1.webp,3,3,0,0,0.9569,adaptive,0.0009,0,0.0,0,0,0,0
ju8gg6b80v0d1.webp,3,4,0,0,0.9569,adaptive,0.0455,0,0.0,0,0,0,0
ju8gg6b80v0d1.webp,3,5,0,0,0.9569,adaptive,0.0147,0,0.0,0,0,0,0
ju8gg6b80v0d1.webp,3,6,9,9,0.9996,adaptive,0.115,1,0.1001,0,0,0,0
ju8gg6b80v0d1.webp,3,7,0,0,0.9569,adaptive,0.0455,0,0.0,0,0,0,0
ju8gg6b80v0d1.webp,3,8,0,0,0.9569,adaptive,0.0158,0,0.0,0,0,0,0
ju8gg6b80v0d1.webp,3,9,0,0,0.9569,adaptive,0.0158,0,0.0,0,0,0,0
ju8gg6b80v0d1.webp,4,1,0,0,0.9569,adaptive,0.0735,0,0.0,0,0,0,0
ju8gg6b80v0d1.webp,4,2,0,0,0.9569,adaptive,0.0455,0,0.0,0,0,0,0
ju8gg6b80v0d1.webp,4,3,0,0,0.9569,adaptive,0.0455,0,0.0,0,0,0,0
ju8gg6b80v0d1.webp,4,4,0,0,0.9569,adaptive,0.0884,0,0.0,0,0,0,0
ju8gg6b80v0d1.webp,4,5,0,0,0.9569,adaptive,0.0581,0,0.0,0,0,0,0
ju8gg6b80v0d1.webp,4,6,0,0,0.9569,adaptive,0.0583,0,0.0,0,0,0,0
ju8gg6b80v0d1.webp,4,7,0,0,0.9569,adaptive,0.0884,0,0.0,0,0,0,0
ju8gg6b80v0d1.webp,4,8,7,7,0.999,adaptive,0.1272,1,0.0684,0,0,0,0
ju8gg6b80v0d1.webp,4,9,0,0,0.9569,adaptive,0.0592,0,0.0,0,0,0,0
ju8gg6b80v0d1.webp,5,1,4,4,0.9029,adaptive,0.1189,1,0.0753,0,0,0,0
ju8gg6b80v0d1.webp,5,2,5,5,0.997,adaptive,0.0966,1,0.081,0,0,0,0
ju8gg6b80v0d1.webp,5,3,0,0,0.9569,adaptive,0.0156,0,0.0,0,0,0,0
ju8gg6b80v0d1.webp,5,4,0,0,0.9569,adaptive,0.0583,0,0.0,0,0,0,0
ju8gg6b80v0d1.webp,5,5,9,9,0.9992,adaptive,0.1258,1,0.0966,0,0,0,0
ju8gg6b80v0d1.webp,5,6,0,0,0.9569,adaptive,0.0298,0,0.0,0,0,0,0
ju8gg6b80v0d1.webp,5,7,0,0,0.9569,adaptive,0.0581,0,0.0,0,0,0,0
ju8gg6b80v0d1.webp,5,8,0,0,0.9569,adaptive,0.0296,0,0.0,0,0,0,0
ju8gg6b80v0d1.webp,5,9,0,0,0.9569,adaptive,0.0294,0,0.0,0,0,0,0
ju8gg6b80v0d1.webp,6,1,0,0,0.9569,adaptive,0.0556,0,0.0,0,0,0,0
ju8gg6b80v0d1.webp,6,2,2,2,0.9909,adaptive,0.1141,1,0.0868,0,0,0,0
ju8gg6b80v0d1.webp,6,3,3,3,0.9981,adaptive,0.0983,1,0.0781,0,0,0,0
ju8gg6b80v0d1.webp,6,4,5,5,0.9974,adaptive,0.14,1,0.0815,0,0,0,0
ju8gg6b80v0d1.webp,6,5,0,0,0.9569,adaptive,0.0292,0,0.0,0,0,0,0
ju8gg6b80v0d1.webp,6,6,0,0,0.9569,adaptive,0.0303,0,0.0,0,0,0,0
ju8gg6b80v0d1.webp,6,7,0,0,0.9569,adaptive,0.0581,0,0.0,0,0,0,0
ju8gg6b80v0d1.webp,6,8,0,0,0.9569,adaptive,0.0315,0,0.0,0,0,0,0
ju8gg6b80v0d1.webp,6,9,9,9,0.9987,adaptive,0.1276,1,0.0969,0,0,0,0
ju8gg6b80v0d1.webp,7,1,0,0,0.9569,adaptive,0.0735,0,0.0,0,0,0,0
ju8gg6b80v0d1.webp,7,2,0,0,0.9569,adaptive,0.0455,0,0.0,0,0,0,0
ju8gg6b80v0d1.webp,7,3,0,0,0.9569,adaptive,0.0455,0,0.0,0,0,0,0
ju8gg6b80v0d1.webp,7,4,3,3,0.9991,adaptive,0.1786,1,0.0781,0,0,0,0
ju8gg6b80v0d1.webp,7,5,4,4,0.9132,adaptive,0.1325,1,0.0758,0,0,0,0
ju8gg6b80v0d1.webp,7,6,0,0,0.9569,adaptive,0.0689,0,0.0,0,0,0,0
ju8gg6b80v0d1.webp,7,7,0,0,0.9569,adaptive,0.0888,0,0.0,0,0,0,0
ju8gg6b80v0d1.webp,7,8,9,9,0.9987,adaptive,0.1577,1,0.0996,0,0,0,0
ju8gg6b80v0d1.webp,7,9,8,8,0.9976,adaptive,0.1657,1,0.1074,0,0,0,0
ju8gg6b80v0d1.webp,8,1,0,0,0.9569,adaptive,0.0438,0,0.0,0,0,0,0
ju8gg6b80v0d1.webp,8,2,3,3,0.9993,adaptive,0.0932,1,0.0774,0,0,0,0
ju8gg6b80v0d1.webp,8,3,0,0,0.9569,adaptive,0.0161,0,0.0,0,0,0,0
ju8gg6b80v0d1.webp,8,4,0,0,0.9569,adaptive,0.0732,0,0.0,0,0,0,0
ju8gg6b80v0d1.webp,8,5,7,7,0.998,adaptive,0.0985,1,0.07,0,0,0,0
ju8gg6b80v0d1.webp,8,6,0,0,0.9569,adaptive,0.0425,0,0.0,0,0,0,0
ju8gg6b80v0d1.webp,8,7,0,0,0.9569,adaptive,0.0583,0,0.0,0,0,0,0
ju8gg6b80v0d1.webp,8,8,0,0,0.9569,adaptive,0.0303,0,0.0,0,0,0,0
ju8gg6b80v0d1.webp,8,9,0,0,0.9569,adaptive,0.0308,0,0.0,0,0,0,0
ju8gg6b80v0d1.webp,9,1,0,0,0.9569,adaptive,0.0438,0,0.0,0,0,0,0
ju8gg6b80v0d1.webp,9,2,0,0,0.9569,adaptive,0.0158,0,0.0,0,0,0,0
ju8gg6b80v0d1.webp,9,3,4,4,0.9076,adaptive,0.0909,1,0.0753,0,0,0,0
ju8gg6b80v0d1.webp,9,4,6,6,0.9836,adaptive,0.171,1,0.0973,0,0,0,0
ju8gg6b80v0d1.webp,9,5,0,0,0.9569,adaptive,0.0285,0,0.0,0,0,0,0
ju8gg6b80v0d1.webp,9,6,0,0,0.9569,adaptive,0.0427,0,0.0,0,0,0,0
ju8gg6b80v0d1.webp,9,7,0,0,0.9569,adaptive,0.0583,0,0.0,0,0,0,0
ju8gg6b80v0d1.webp,9,8,0,0,0.9569,adaptive,0.0301,0,0.0,0,0,0,0
ju8gg6b80v0d1.webp,9,9,2,2,0.9958,adaptive,0.1166,1,0.0859,0,0,0,0
wnijnnxmeyzc1.webp,1,3,5,5,0.998,adaptive,0.1169,1,0.0865,0,0,0,0
wnijnnxmeyzc1.webp,1,4,4,4,0.9673,adaptive,0.1345,1,0.0755,0,0,0,0
wnijnnxmeyzc1.webp,1,5,8,8,0.9993,adaptive,0.1359,1,0.1079,0,0,0,0
