photo,row,col,gt,pred,conf,threshold,fg_frac,post_ink_frac,comps,largest_frac,tiny_removed,grid_removed,corner_removed,merged
3bor2sty6q0d1.webp,3,9,7,7,0.9984,adaptive,0.2103,0.0884,34,0.0884,33,0,0,0
3bor2sty6q0d1.webp,4,1,2,4,0.3409,adaptive,0.143,0.0708,13,0.0708,12,0,0,0
3bor2sty6q0d1.webp,4,2,0,0,0.9569,adaptive,0.0663,0.0,13,0.0,13,0,0,0
3bor2sty6q0d1.webp,4,3,4,4,0.9856,adaptive,0.1796,0.1009,15,0.1009,14,0,0,0
3bor2sty6q0d1.webp,4,4,0,0,0.9569,adaptive,0.0938,0.0,29,0.0,29,0,0,0
3bor2sty6q0d1.webp,4,5,6,3,0.5246,adaptive,0.1913,0.1022,27,0.095,25,0,0,0
3bor2sty6q0d1.webp,4,6,1,1,0.992,adaptive,0.1922,0.0822,28,0.0822,27,0,0,0
3bor2sty6q0d1.webp,4,7,5,5,0.7897,adaptive,0.2025,0.0762,23,0.0762,22,0,0,0
3bor2sty6q0d1.webp,4,8,7,7,0.9987,adaptive,0.1886,0.0896,27,0.0896,26,0,0,0
3bor2sty6q0d1.webp,4,9,9,2,0.5256,adaptive,0.1793,0.0786,29,0.0786,28,0,0,0
3bor2sty6q0d1.webp,5,1,6,6,0.9037,adaptive,0.1694,0.0807,12,0.0807,11,0,0,0
3bor2sty6q0d1.webp,5,2,1,1,0.6516,adaptive,0.1191,0.0452,13,0.0395,11,0,0,0
3bor2sty6q0d1.webp,5,3,7,7,0.3864,adaptive,0.1624,0.081,17,0.0742,15,0,0,0
3bor2sty6q0d1.webp,5,4,0,0,0.9569,adaptive,0.0986,0.0,21,0.007,20,0,0,0
3bor2sty6q0d1.webp,5,5,5,5,0.9174,adaptive,0.1896,0.104,17,0.104,16,0,0,0
3bor2sty6q0d1.webp,5,6,9,9,0.3346,adaptive,0.1694,0.0633,33,0.0633,32,0,0,0
3bor2sty6q0d1.webp,5,7,8,8,0.9582,adaptive,0.2596,0.1332,23,0.1332,22,0,0,0
3bor2sty6q0d1.webp,5,8,0,0,0.9569,adaptive,0.1393,0.0,44,0.0092,43,0,0,0
3bor2sty6q0d1.webp,5,9,2,2,0.9978,adaptive,0.1755,0.0735,30,0.0735,29,0,0,0
3bor2sty6q0d1.webp,6,1,5,7,0.9215,adaptive,0.2125,0.1092,5,0.1011,3,0,0,0
3bor2sty6q0d1.webp,6,2,9,2,0.3956,adaptive,0.2223,0.1291,3,0.1291,1,1,0,0
3bor2sty6q0d1.webp,6,3,0,0,0.9569,adaptive,0.0878,0.0,8,0.0,7,1,0,0
3bor2sty6q0d1.webp,6,4,2,2,0.9948,adaptive,0.2114,0.1072,4,0.1072,2,1,0,0
3bor2sty6q0d1.webp,6,5,0,0,0.9569,adaptive,0.1151,0.0,15,0.0,14,1,0,0
3bor2sty6q0d1.webp,6,6,0,0,0.9569,adaptive,0.1274,0.0,21,0.0,20,1,0,0
3bor2sty6q0d1.webp,6,7,6,5,0.882,adaptive,0.2589,0.1374,18,0.1292,16,0,0,0
3bor2sty6q0d1.webp,6,8,0,0,0.9569,adaptive,0.1479,0.0,39,0.0068,37,0,0,0
3bor2sty6q0d1.webp,6,9,1,1,0.5789,adaptive,0.1675,0.0499,48,0.0499,46,0,0,1
3bor2sty6q0d1.webp,7,1,3,3,0.9522,adaptive,0.19,0.1136,1,0.1136,0,0,0,0
3bor2sty6q0d1.webp,7,2,2,2,0.8162,adaptive,0.1499,0.0794,1,0.0794,0,0,0,0
3bor2sty6q0d1.webp,7,3,1,1,0.9249,adaptive,0.0965,0.0379,5,0.0379,4,0,0,0
3bor2sty6q0d1.webp,7,4,5,5,0.9763,adaptive,0.1818,0.0922,11,0.0922,10,0,0,0
3bor2sty6q0d1.webp,7,5,8,8,0.856,adaptive,0.2259,0.1391,17,0.1391,16,0,0,0
3bor2sty6q0d1.webp,7,6,6,6,0.7388,adaptive,0.2254,0.1308,25,0.1308,24,0,0,0
3bor2sty6q0d1.webp,7,7,7,7,0.9649,adaptive,0.2045,0.092,21,0.0806,18,1,0,1
3bor2sty6q0d1.webp,7,8,9,2,0.7674,adaptive,0.199,0.0837,41,0.0737,39,0,0,1
3bor2sty6q0d1.webp,7,9,4,4,0.873,adaptive,0.2061,0.0924,42,0.0753,39,0,0,1
3bor2sty6q0d1.webp,8,1,8,9,0.4725,adaptive,0.1791,0.1024,6,0.1024,5,0,0,0
3bor2sty6q0d1.webp,8,2,5,5,0.8379,adaptive,0.1563,0.1031,3,0.1031,2,0,0,0
3bor2sty6q0d1.webp,8,3,9,9,0.9607,adaptive,0.1793,0.1373,5,0.1373,4,0,0,0
3bor2sty6q0d1.webp,8,4,0,0,0.9569,adaptive,0.0812,0.0,7,0.0,7,0,0,0
3bor2sty6q0d1.webp,8,5,0,0,0.9569,adaptive,0.0854,0.0,13,0.0,13,0,0,0
3bor2sty6q0d1.webp,8,6,0,0,0.9569,adaptive,0.1024,0.0,31,0.0,31,0,0,0
3bor2sty6q0d1.webp,8,7,1,7,0.7077,adaptive,0.1651,0.045,31,0.0378,28,1,0,0
3bor2sty6q0d1.webp,8,8,6,6,0.7621,adaptive,0.2482,0.1054,41,0.1054,40,0,0,0
3bor2sty6q0d1.webp,8,9,3,3,0.9959,adaptive,0.2239,0.114,28,0.114,27,0,0,0
3bor2sty6q0d1.webp,9,1,7,7,0.9985,adaptive,0.131,0.059,11,0.059,10,0,0,0
3bor2sty6q0d1.webp,9,2,4,4,0.8745,adaptive,0.1271,0.0699,1,0.0699,0,0,0,0
3bor2sty6q0d1.webp,9,3,6,6,0.9075,adaptive,0.1882,0.1435,3,0.1435,2,0,0,0
3bor2sty6q0d1.webp,9,4,9,9,0.995,adaptive,0.1931,0.1397,4,0.1397,3,0,0,0
3bor2sty6q0d1.webp,9,5,1,1,0.4215,adaptive,0.1443,0.0629,10,0.0629,9,0,0,0
3bor2sty6q0d1.webp,9,6,3,3,0.9976,adaptive,0.2274,0.1461,15,0.1132,13,0,0,1
3bor2sty6q0d1.webp,9,7,2,2,0.9969,adaptive,0.2165,0.117,19,0.117,17,1,0,0
3bor2sty6q0d1.webp,9,8,8,8,0.9229,adaptive,0.2083,0.1167,26,0.1072,24,0,0,1
3bor2sty6q0d1.webp,9,9,5,5,0.4404,adaptive,0.2303,0.1314,21,0.125,19,0,0,0
w9y7j9hnxszc1.webp,1,1,6,6,0.9913,adaptive,0.1827,0.1114,1,0.1114,0,0,0,0
w9y7j9hnxszc1.webp,1,2,8,8,0.9989,adaptive,0.1816,0.1264,1,0.1264,0,0,0,0
w9y7j9hnxszc1.webp,1,4,0,0,0.9569,adaptive,0.0711,0.0,0,0.0,0,0,0,0
w9y7j9hnxszc1.webp,1,5,9,9,0.9997,adaptive,0.1524,0.1088,1,0.1088,0,0,0,0
w9y7j9hnxszc1.webp,1,6,0,0,0.9569,adaptive,0.059,0.0,0,0.0,0,0,0,0
w9y7j9hnxszc1.webp,1,9,3,3,0.9982,adaptive,0.1648,0.1056,1,0.1056,0,0,0,0
w9y7j9hnxszc1.webp,2,2,9,9,0.9988,adaptive,0.1513,0.1095,1,0.1095,0,0,0,0
w9y7j9hnxszc1.webp,2,3,0,0,0.9569,adaptive,0.043,0.0,0,0.0,0,0,0,0
w9y7j9hnxszc1.webp,2,4,6,6,0.9943,adaptive,0.1682,0.111,1,0.111,0,0,0,0
w9y7j9hnxszc1.webp,2,5,5,5,0.9951,adaptive,0.1389,0.1093,1,0.1093,0,0,0,0
w9y7j9hnxszc1.webp,2,7,8,8,0.9997,adaptive,0.1696,0.1264,1,0.1264,0,0,0,0
w9y7j9hnxszc1.webp,2,8,2,2,0.9993,adaptive,0.1325,0.1028,1,0.1028,0,0,0,0
w9y7j9hnxszc1.webp,3,2,5,5,0.9975,adaptive,0.1796,0.1104,1,0.1104,0,0,0,0
w9y7j9hnxszc1.webp,3,6,7,7,0.9974,adaptive,0.1446,0.0733,1,0.0733,0,0,0,0
w9y7j9hnxszc1.webp,3,7,6,6,0.9943,adaptive,0.1791,0.1092,1,0.1092,0,0,0,0
w9y7j9hnxszc1.webp,3,8,9,9,0.999,adaptive,0.1664,0.109,1,0.109,0,0,0,0
w9y7j9hnxszc1.webp,3,9,0,0,0.9569,adaptive,0.0713,0.0,0,0.0,0,0,0,0
w9y7j9hnxszc1.webp,4,1,0,0,0.9569,adaptive,0.0809,0.0,0,0.0,0,0,0,0
w9y7j9hnxszc1.webp,4,2,7,7,0.9988,adaptive,0.1284,0.0742,1,0.0742,0,0,0,0
w9y7j9hnxszc1.webp,4,3,1,1,0.8865,adaptive,0.1241,0.0666,1,0.0666,0,0,0,0
w9y7j9hnxszc1.webp,4,5,6,6,0.9923,adaptive,0.1633,0.1099,1,0.1099,0,0,0,0
w9y7j9hnxszc1.webp,4,7,0,0,0.9569,adaptive,0.0684,0.0,0,0.0,0,0,0,0
w9y7j9hnxszc1.webp,4,8,8,8,0.9992,adaptive,0.1811,0.1244,1,0.1244,0,0,0,0
w9y7j9hnxszc1.webp,4,9,9,9,0.9992,adaptive,0.1782,0.1074,1,0.1074,0,0,0,0
w9y7j9hnxszc1.webp,5,1,0,0,0.9569,adaptive,0.0538,0.0,0,0.0,0,0,0,0
w9y7j9hnxszc1.webp,5,2,2,2,0.9993,adaptive,0.1366,0.1012,1,0.1012,0,0,0,0
w9y7j9hnxszc1.webp,5,3,0,0,0.9569,adaptive,0.0418,0.0,0,0.0,0,0,0,0
w9y7j9hnxszc1.webp,5,5,0,0,0.9569,adaptive,0.0287,0.0,0,0.0,0,0,0,0
w9y7j9hnxszc1.webp,5,6,8,8,0.9994,adaptive,0.1658,0.1228,1,0.1228,0,0,0,0
w9y7j9hnxszc1.webp,5,7,0,0,0.9569,adaptive,0.0427,0.0,0,0.0,0,0,0,0
w9y7j9hnxszc1.webp,5,8,0,0,0.9569,adaptive,0.0425,0.0,0,0.0,0,0,0,0
w9y7j9hnxszc1.webp,5,9,0,0,0.9569,adaptive,0.0554,0.0,0,0.0,0,0,0,0
w9y7j9hnxszc1.webp,6,2,0,0,0.9569,adaptive,0.0425,0.0,0,0.0,0,0,0,0
w9y7j9hnxszc1.webp,6,4,3,3,0.9979,adaptive,0.1782,0.1049,1,0.1049,0,0,0,0
w9y7j9hnxszc1.webp,6,5,0,0,0.9569,adaptive,0.0561,0.0,0,0.0,0,0,0,0
w9y7j9hnxszc1.webp,6,7,2,2,0.9987,adaptive,0.1568,0.0969,1,0.0969,0,0,0,0
w9y7j9hnxszc1.webp,6,8,0,0,0.9569,adaptive,0.0466,0.0,0,0.0,0,0,0,0
w9y7j9hnxszc1.webp,6,9,0,0,0.9569,adaptive,0.0702,0.0,0,0.0,0,0,0,0
w9y7j9hnxszc1.webp,7,1,0,0,0.9569,adaptive,0.0815,0.0,0,0.0,0,0,0,0
w9y7j9hnxszc1.webp,7,3,0,0,0.9569,adaptive,0.0691,0.0,0,0.0,0,0,0,0
w9y7j9hnxszc1.webp,7,4,0,0,0.9569,adaptive,0.0813,0.0,0,0.0,0,0,0,0
w9y7j9hnxszc1.webp,7,5,0,0,0.9569,adaptive,0.0559,0.0,0,0.0,0,0,0,0
w9y7j9hnxszc1.webp,7,6,0,0,0.9569,adaptive,0.0699,0.0,0,0.0,0,0,0,0
w9y7j9hnxszc1.webp,7,7,4,4,0.9981,adaptive,0.17,0.1018,1,0.1018,0,0,0,0
w9y7j9hnxszc1.webp,7,9,2,2,0.9992,adaptive,0.1722,0.1016,1,0.1016,0,0,0,0
w9y7j9hnxszc1.webp,8,1,0,0,0.9569,adaptive,0.0572,0.0,0,0.0,0,0,0,0
w9y7j9hnxszc1.webp,8,3,0,0,0.9569,adaptive,0.0527,0.0,0,0.0,0,0,0,0
w9y7j9hnxszc1.webp,8,6,6,6,0.9951,adaptive,0.1538,0.1101,1,0.1101,0,0,0,0
w9y7j9hnxszc1.webp,8,8,7,7,0.9958,adaptive,0.1077,0.0785,1,0.0785,0,0,0,0
w9y7j9hnxszc1.webp,8,9,8,8,0.9987,adaptive,0.1687,0.1253,1,0.1253,0,0,0,0
w9y7j9hnxszc1.webp,9,1,2,2,0.999,adaptive,0.1726,0.1014,1,0.1014,0,0,0,0
w9y7j9hnxszc1.webp,9,2,0,0,0.9569,adaptive,0.0552,0.0,0,0.0,0,0,0,0
w9y7j9hnxszc1.webp,9,3,0,0,0.9569,adaptive,0.0586,0.0,0,0.0,0,0,0,0
w9y7j9hnxszc1.webp,9,4,0,0,0.9569,adaptive,0.0711,0.0,0,0.0,0,0,0,0
w9y7j9hnxszc1.webp,9,5,0,0,0.9569,adaptive,0.0436,0.0,0,0.0,0,0,0,0
w9y7j9hnxszc1.webp,9,6,0,0,0.9569,adaptive,0.059,0.0,0,0.0,0,0,0,0
w9y7j9hnxszc1.webp,9,8,1,1,0.8728,adaptive,0.0907,0.0608,1,0.0608,0,0,0,0
kt8h5700va8c1.webp,1,1,5,5,0.999,adaptive,0.1818,0.0813,1,0.0813,0,0,0,0
kt8h5700va8c1.webp,1,2,2,2,0.9952,adaptive,0.1777,0.0807,1,0.0807,0,0,0,0
kt8h5700va8c1.webp,1,3,7,7,0.998,adaptive,0.1571,0.0593,1,0.0593,0,0,0,0
kt8h5700va8c1.webp,1,5,3,3,0.9986,adaptive,0.1653,0.0805,1,0.0805,0,0,0,0
kt8h5700va8c1.webp,1,6,4,4,0.9975,adaptive,0.1704,0.0728,1,0.0728,0,0,0,0
kt8h5700va8c1.webp,2,1,4,4,0.9967,adaptive,0.1712,0.0746,1,0.0746,0,0,0,0
kt8h5700va8c1.webp,2,2,9,9,0.9948,adaptive,0.188,0.0918,1,0.0918,0,0,0,0
kt8h5700va8c1.webp,2,5,2,2,0.9959,adaptive,0.1733,0.082,1,0.082,0,0,0,0
kt8h5700va8c1.webp,2,6,1,1,0.9905,adaptive,0.1558,0.057,1,0.057,0,0,0,0
kt8h5700va8c1.webp,2,7,7,7,0.9989,adaptive,0.1619,0.0626,1,0.0626,0,0,0,0
kt8h5700va8c1.webp,2,9,5,5,0.9974,adaptive,0.197,0.0846,1,0.0846,0,0,0,0
kt8h5700va8c1.webp,3,2,1,1,0.9837,adaptive,0.1707,0.0615,1,0.0615,0,0,0,0
kt8h5700va8c1.webp,3,4,9,9,0.9935,adaptive,0.1987,0.0884,1,0.0884,0,0,0,0
kt8h5700va8c1.webp,3,5,5,5,0.9986,adaptive,0.1927,0.083,1,0.083,0,0,0,0
kt8h5700va8c1.webp,3,6,7,7,0.9985,adaptive,0.1604,0.0633,1,0.0633,0,0,0,0
kt8h5700va8c1.webp,4,1,1,1,0.9962,adaptive,0.1673,0.0573,1,0.0573,0,0,0,0
kt8h5700va8c1.webp,4,2,7,7,0.9987,adaptive,0.1671,0.0624,1,0.0624,0,0,0,0
kt8h5700va8c1.webp,4,4,5,5,0.9993,adaptive,0.1927,0.0847,1,0.0847,0,0,0,0
kt8h5700va8c1.webp,4,5,8,8,0.9915,adaptive,0.2026,0.0911,1,0.0911,0,0,0,0
kt8h5700va8c1.webp,4,6,2,2,0.9972,adaptive,0.1927,0.0806,1,0.0806,0,0,0,0
kt8h5700va8c1.webp,4,8,9,9,0.9934,adaptive,0.1863,0.0889,1,0.0889,0,0,0,0
kt8h5700va8c1.webp,4,9,4,4,0.9976,adaptive,0.1967,0.0728,1,0.0728,0,0,0,0
kt8h5700va8c1.webp,5,3,2,2,0.9945,adaptive,0.18,0.0816,1,0.0816,0,0,0,0
kt8h5700va8c1.webp,5,4,1,1,0.9959,adaptive,0.1563,0.0586,1,0.0586,0,0,0,0
kt8h5700va8c1.webp,5,6,3,3,0.9978,adaptive,0.1655,0.081,1,0.081,0,0,0,0
kt8h5700va8c1.webp,5,8,7,7,0.9986,adaptive,0.1478,0.0647,1,0.0647,0,0,0,0
kt8h5700va8c1.webp,6,4,7,7,0.999,adaptive,0.1711,0.0593,1,0.0593,0,0,0,0
kt8h5700va8c1.webp,6,6,6,6,0.9227,adaptive,0.1853,0.0873,1,0.0873,0,0,0,0
kt8h5700va8c1.webp,7,2,3,3,0.9979,adaptive,0.1787,0.0805,1,0.0805,0,0,0,0
kt8h5700va8c1.webp,7,4,2,2,0.9956,adaptive,0.1989,0.0793,1,0.0793,0,0,0,0
kt8h5700va8c1.webp,7,5,7,7,0.9988,adaptive,0.1746,0.0622,1,0.0622,0,0,0,0
kt8h5700va8c1.webp,7,6,8,8,0.9716,adaptive,0.1894,0.0913,1,0.0913,0,0,0,0
kt8h5700va8c1.webp,7,8,1,1,0.9965,adaptive,0.1569,0.059,1,0.059,0,0,0,0
kt8h5700va8c1.webp,8,1,7,7,0.9988,adaptive,0.1714,0.0604,1,0.0604,0,0,0,0
kt8h5700va8c1.webp,8,3,1,1,0.9923,adaptive,0.1461,0.059,1,0.059,0,0,0,0
kt8h5700va8c1.webp,8,4,3,3,0.9983,adaptive,0.1768,0.0798,1,0.0798,0,0,0,0
kt8h5700va8c1.webp,8,5,6,6,0.9546,adaptive,0.2004,0.0909,1,0.0909,0,0,0,0
kt8h5700va8c1.webp,9,1,2,2,0.995,adaptive,0.207,0.0806,1,0.0806,0,0,0,0
kt8h5700va8c1.webp,9,4,4,4,0.9979,adaptive,0.1746,0.0755,1,0.0755,0,0,0,0
kt8h5700va8c1.webp,9,5,1,1,0.9957,adaptive,0.1712,0.0588,1,0.0588,0,0,0,0
kt8h5700va8c1.webp,9,9,7,7,0.9982,adaptive,0.1845,0.0633,1,0.0633,0,0,0,0
ju8gg6b80v0d1.webp,1,1,0,0,0.9569,adaptive,0.0579,0.0,0,0.0,0,0,0,0
ju8gg6b80v0d1.webp,1,2,0,0,0.9569,adaptive,0.0299,0.0,0,0.0,0,0,0,0
ju8gg6b80v0d1.webp,1,3,0,0,0.9569,adaptive,0.0575,0.0,0,0.0,0,0,0,0
ju8gg6b80v0d1.webp,1,4,2,2,0.9881,adaptive,0.1439,0.086,1,0.086,0,0,0,0
ju8gg6b80v0d1.webp,1,5,0,0,0.9569,adaptive,0.0299,0.0,0,0.0,0,0,0,0
ju8gg6b80v0d1.webp,1,6,0,0,0.9569,adaptive,0.0581,0.0,0,0.0,0,0,0,0
ju8gg6b80v0d1.webp,1,7,0,0,0.9569,adaptive,0.0437,0.0,0,0.0,0,0,0,0
ju8gg6b80v0d1.webp,1,8,0,0,0.9569,adaptive,0.0301,0.0,0,0.0,0,0,0,0
ju8gg6b80v0d1.webp,1,9,0,0,0.9569,adaptive,0.0722,0.0,0,0.0,0,0,0,0
ju8gg6b80v0d1.webp,2,1,0,0,0.9569,adaptive,0.0299,0.0,0,0.0,0,0,0,0
ju8gg6b80v0d1.webp,2,2,0,0,0.9569,adaptive,0.0002,0.0,0,0.0,0,0,0,0
ju8gg6b80v0d1.webp,2,3,8,8,0.9993,adaptive,0.1375,0.1074,1,0.1074,0,0,0,0
ju8gg6b80v0d1.webp,2,4,0,0,0.9569,adaptive,0.0301,0.0,0,0.0,0,0,0,0
ju8gg6b80v0d1.webp,2,5,0,0,0.9569,adaptive,0.0,0.0,0,0.0,0,0,0,0
ju8gg6b80v0d1.webp,2,6,7,7,0.9987,adaptive,0.0986,0.0683,1,0.0683,0,0,0,0
ju8gg6b80v0d1.webp,2,7,3,3,0.9989,adaptive,0.0941,0.0785,1,0.0785,0,0,0,0
ju8gg6b80v0d1.webp,2,8,0,0,0.9569,adaptive,0.0005,0.0,0,0.0,0,0,0,0
ju8gg6b80v0d1.webp,2,9,0,0,0.9569,adaptive,0.0448,0.0,0,0.0,0,0,0,0
ju8gg6b80v0d1.webp,3,1,6,6,0.9863,adaptive,0.1537,0.0965,1,0.0965,0,0,0,0
ju8gg6b80v0d1.webp,3,2,7,7,0.9993,adaptive,0.0977,0.0676,1,0.0676,0,0,0,0
ju8gg6b80v0d1.webp,3,3,0,0,0.9569,adaptive,0.0575,0.0,0,0.0,0,0,0,0
ju8gg6b80v0d1.webp,3,4,0,0,0.9569,adaptive,0.0577,0.0,0,0.0,0,0,0,0
ju8gg6b80v0d1.webp,3,5,0,0,0.9569,adaptive,0.0299,0.0,0,0.0,0,0,0,0
ju8gg6b80v0d1.webp,3,6,9,9,0.9996,adaptive,0.1553,0.0971,1,0.0971,0,0,0,0
ju8gg6b80v0d1.webp,3,7,0,0,0.9569,adaptive,0.0437,0.0,0,0.0,0,0,0,0
ju8gg6b80v0d1.webp,3,8,0,0,0.9569,adaptive,0.0301,0.0,0,0.0,0,0,0,0
ju8gg6b80v0d1.webp,3,9,0,0,0.9569,adaptive,0.0724,0.0,0,0.0,0,0,0,0
ju8gg6b80v0d1.webp,4,1,0,0,0.9569,adaptive,0.0584,0.0,0,0.0,0,0,0,0
ju8gg6b80v0d1.webp,4,2,0,0,0.9569,adaptive,0.0303,0.0,0,0.0,0,0,0,0
ju8gg6b80v0d1.webp,4,3,0,0,0.9569,adaptive,0.0581,0.0,0,0.0,0,0,0,0
ju8gg6b80v0d1.webp,4,4,0,0,0.9569,adaptive,0.0584,0.0,0,0.0,0,0,0,0
ju8gg6b80v0d1.webp,4,5,0,0,0.9569,adaptive,0.0301,0.0,0,0.0,0,0,0,0
ju8gg6b80v0d1.webp,4,6,0,0,0.9569,adaptive,0.0584,0.0,0,0.0,0,0,0,0
ju8gg6b80v0d1.webp,4,7,0,0,0.9569,adaptive,0.0443,0.0,0,0.0,0,0,0,0
ju8gg6b80v0d1.webp,4,8,7,7,0.999,adaptive,0.0977,0.0674,1,0.0674,0,0,0,0
ju8gg6b80v0d1.webp,4,9,0,0,0.9569,adaptive,0.0726,0.0,0,0.0,0,0,0,0
ju8gg6b80v0d1.webp,5,1,4,4,0.9029,adaptive,0.104,0.0742,1,0.0742,0,0,0,0
ju8gg6b80v0d1.webp,5,2,5,5,0.9976,adaptive,0.081,0.081,1,0.081,0,0,0,0
ju8gg6b80v0d1.webp,5,3,0,0,0.9569,adaptive,0.0299,0.0,0,0.0,0,0,0,0
ju8gg6b80v0d1.webp,5,4,0,0,0.9569,adaptive,0.0301,0.0,0,0.0,0,0,0,0
ju8gg6b80v0d1.webp,5,5,9,9,0.9993,adaptive,0.0966,0.0966,1,0.0966,0,0,0,0
ju8gg6b80v0d1.webp,5,6,0,0,0.9569,adaptive,0.0299,0.0,0,0.0,0,0,0,0
ju8gg6b80v0d1.webp,5,7,0,0,0.9569,adaptive,0.0152,0.0,0,0.0,0,0,0,0
ju8gg6b80v0d1.webp,5,8,0,0,0.9569,adaptive,0.0002,0.0,0,0.0,0,0,0,0
ju8gg6b80v0d1.webp,5,9,0,0,0.9569,adaptive,0.0448,0.0,0,0.0,0,0,0,0
ju8gg6b80v0d1.webp,6,1,0,0,0.9569,adaptive,0.0584,0.0,0,0.0,0,0,0,0
ju8gg6b80v0d1.webp,6,2,2,2,0.9909,adaptive,0.1158,0.0855,1,0.0855,0,0,0,0
ju8gg6b80v0d1.webp,6,3,3,3,0.9972,adaptive,0.1339,0.0757,1,0.0757,0,0,0,0
ju8gg6b80v0d1.webp,6,4,5,5,0.9974,adaptive,0.1377,0.0791,1,0.0791,0,0,0,0
ju8gg6b80v0d1.webp,6,5,0,0,0.9569,adaptive,0.0299,0.0,0,0.0,0,0,0,0
ju8gg6b80v0d1.webp,6,6,0,0,0.9569,adaptive,0.059,0.0,0,0.0,0,0,0,0
ju8gg6b80v0d1.webp,6,7,0,0,0.9569,adaptive,0.0439,0.0,0,0.0,0,0,0,0
ju8gg6b80v0d1.webp,6,8,0,0,0.9569,adaptive,0.0301,0.0,0,0.0,0,0,0,0
ju8gg6b80v0d1.webp,6,9,9,9,0.9992,adaptive,0.1673,0.094,1,0.094,0,0,0,0
ju8gg6b80v0d1.webp,7,1,0,0,0.9569,adaptive,0.0439,0.0,0,0.0,0,0,0,0
ju8gg6b80v0d1.webp,7,2,0,0,0.9569,adaptive,0.0154,0.0,0,0.0,0,0,0,0
ju8gg6b80v0d1.webp,7,3,0,0,0.9569,adaptive,0.0437,0.0,0,0.0,0,0,0,0
ju8gg6b80v0d1.webp,7,4,3,3,0.9982,adaptive,0.1198,0.0757,1,0.0757,0,0,0,0
ju8gg6b80v0d1.webp,7,5,4,4,0.9634,adaptive,0.0898,0.0746,1,0.0746,0,0,0,0
ju8gg6b80v0d1.webp,7,6,0,0,0.9569,adaptive,0.0441,0.0,0,0.0,0,0,0,0
ju8gg6b80v0d1.webp,7,7,0,0,0.9569,adaptive,0.0296,0.0,0,0.0,0,0,0,0
ju8gg6b80v0d1.webp,7,8,9,9,0.9996,adaptive,0.1135,0.0981,1,0.0981,0,0,0,0
ju8gg6b80v0d1.webp,7,9,8,8,0.9991,adaptive,0.1626,0.1043,1,0.1043,0,0,0,0
