photo,row,col,gt,pred,conf,threshold,fg_frac,comps,largest_frac
3bor2sty6q0d1.webp,3,9,7,7,0.9999,adaptive,0.2117,50,0.0911
3bor2sty6q0d1.webp,4,1,2,9,0.8992,adaptive,0.1377,27,0.0732
3bor2sty6q0d1.webp,4,2,0,0,0.9866,adaptive,0.0631,15,0.0037
3bor2sty6q0d1.webp,4,3,4,4,1.0,adaptive,0.1697,16,0.1111
3bor2sty6q0d1.webp,4,4,0,5,0.3599,adaptive,0.115,35,0.0416
3bor2sty6q0d1.webp,4,5,6,6,0.472,adaptive,0.2039,40,0.1026
3bor2sty6q0d1.webp,4,6,1,1,1.0,adaptive,0.2068,52,0.0847
3bor2sty6q0d1.webp,4,7,5,5,0.7612,adaptive,0.2124,32,0.082
3bor2sty6q0d1.webp,4,8,7,7,0.9999,adaptive,0.1977,50,0.0909
3bor2sty6q0d1.webp,4,9,9,9,0.6144,adaptive,0.1878,55,0.0824
3bor2sty6q0d1.webp,5,1,6,6,0.9999,adaptive,0.1664,24,0.0971
3bor2sty6q0d1.webp,5,2,1,9,0.3995,adaptive,0.112,20,0.0475
3bor2sty6q0d1.webp,5,3,7,7,0.9999,adaptive,0.1522,19,0.0937
3bor2sty6q0d1.webp,5,4,0,5,0.3651,adaptive,0.1219,25,0.0438
3bor2sty6q0d1.webp,5,5,5,5,0.9953,adaptive,0.1919,33,0.104
3bor2sty6q0d1.webp,5,6,9,2,0.5635,adaptive,0.168,54,0.0643
3bor2sty6q0d1.webp,5,7,8,8,1.0,adaptive,0.2617,33,0.1352
3bor2sty6q0d1.webp,5,8,0,5,0.4421,adaptive,0.1322,73,0.0092
3bor2sty6q0d1.webp,5,9,2,2,0.9941,adaptive,0.1763,66,0.0737
3bor2sty6q0d1.webp,6,1,5,5,0.9428,adaptive,0.2103,15,0.1208
3bor2sty6q0d1.webp,6,2,9,9,1.0,adaptive,0.205,16,0.1327
3bor2sty6q0d1.webp,6,3,0,1,0.9851,adaptive,0.0769,13,0.0496
3bor2sty6q0d1.webp,6,4,2,2,1.0,adaptive,0.2091,5,0.1123
3bor2sty6q0d1.webp,6,5,0,1,0.5668,adaptive,0.1141,30,0.0326
3bor2sty6q0d1.webp,6,6,0,3,0.5461,adaptive,0.124,36,0.0328
3bor2sty6q0d1.webp,6,7,6,6,1.0,adaptive,0.2507,21,0.1331
3bor2sty6q0d1.webp,6,8,0,0,0.9118,adaptive,0.1515,51,0.0165
3bor2sty6q0d1.webp,6,9,1,4,0.5229,adaptive,0.1687,57,0.0427
3bor2sty6q0d1.webp,7,1,3,3,1.0,adaptive,0.1761,10,0.1171
3bor2sty6q0d1.webp,7,2,2,4,0.5325,adaptive,0.1226,14,0.0822
3bor2sty6q0d1.webp,7,3,1,5,0.4782,adaptive,0.0657,7,0.039
3bor2sty6q0d1.webp,7,4,5,5,0.9999,adaptive,0.1749,12,0.095
3bor2sty6q0d1.webp,7,5,8,8,1.0,adaptive,0.2176,23,0.1412
3bor2sty6q0d1.webp,7,6,6,6,1.0,adaptive,0.2149,27,0.1348
3bor2sty6q0d1.webp,7,7,7,7,0.9997,adaptive,0.1894,28,0.0831
3bor2sty6q0d1.webp,7,8,9,9,0.7211,adaptive,0.1912,56,0.0748
3bor2sty6q0d1.webp,7,9,4,4,0.9998,adaptive,0.2004,61,0.0776
3bor2sty6q0d1.webp,8,1,8,8,0.958,adaptive,0.1754,25,0.104
3bor2sty6q0d1.webp,8,2,5,6,0.82,adaptive,0.1543,23,0.1031
3bor2sty6q0d1.webp,8,3,9,9,1.0,adaptive,0.1612,7,0.1393
3bor2sty6q0d1.webp,8,4,0,4,0.499,adaptive,0.0875,12,0.0427
3bor2sty6q0d1.webp,8,5,0,0,0.9866,adaptive,0.0719,25,0.0037
3bor2sty6q0d1.webp,8,6,0,6,0.4047,adaptive,0.0932,36,0.0076
3bor2sty6q0d1.webp,8,7,1,1,0.4681,adaptive,0.1538,41,0.0542
3bor2sty6q0d1.webp,8,8,6,6,0.6198,adaptive,0.2254,57,0.1051
3bor2sty6q0d1.webp,8,9,3,3,1.0,adaptive,0.2241,49,0.1157
3bor2sty6q0d1.webp,9,1,7,7,0.9984,adaptive,0.1469,18,0.0597
3bor2sty6q0d1.webp,9,2,4,4,0.9688,adaptive,0.1416,23,0.0698
3bor2sty6q0d1.webp,9,3,6,6,1.0,adaptive,0.1915,14,0.1478
3bor2sty6q0d1.webp,9,4,9,9,1.0,adaptive,0.2424,13,0.1439
3bor2sty6q0d1.webp,9,5,1,7,0.8199,adaptive,0.155,35,0.0627
3bor2sty6q0d1.webp,9,6,3,3,1.0,adaptive,0.2355,29,0.1157
3bor2sty6q0d1.webp,9,7,2,2,1.0,adaptive,0.2371,31,0.1205
3bor2sty6q0d1.webp,9,8,8,8,1.0,adaptive,0.2273,46,0.1107
3bor2sty6q0d1.webp,9,9,5,5,1.0,adaptive,0.2243,50,0.1288
w9y7j9hnxszc1.webp,1,1,6,6,1.0,adaptive,0.1738,1,0.1148
w9y7j9hnxszc1.webp,1,2,8,8,1.0,adaptive,0.1855,1,0.1283
w9y7j9hnxszc1.webp,1,4,0,0,0.6324,adaptive,0.0744,1,0.0142
w9y7j9hnxszc1.webp,1,5,9,9,1.0,adaptive,0.1814,2,0.1104
w9y7j9hnxszc1.webp,1,6,0,4,0.2853,adaptive,0.0579,1,0.0266
w9y7j9hnxszc1.webp,1,9,3,3,0.9999,adaptive,0.1669,2,0.1088
w9y7j9hnxszc1.webp,2,2,9,9,1.0,adaptive,0.1667,1,0.1095
w9y7j9hnxszc1.webp,2,3,0,0,0.9866,adaptive,0.0429,0,0.0
w9y7j9hnxszc1.webp,2,4,6,6,1.0,adaptive,0.1848,2,0.1127
w9y7j9hnxszc1.webp,2,5,5,5,1.0,adaptive,0.168,2,0.1093
w9y7j9hnxszc1.webp,2,7,8,8,1.0,adaptive,0.1995,2,0.1283
w9y7j9hnxszc1.webp,2,8,2,2,0.9997,adaptive,0.1618,2,0.1028
w9y7j9hnxszc1.webp,3,2,5,5,1.0,adaptive,0.1694,1,0.112
w9y7j9hnxszc1.webp,3,6,7,7,0.9999,adaptive,0.1345,2,0.0755
w9y7j9hnxszc1.webp,3,7,6,6,1.0,adaptive,0.1837,2,0.1125
w9y7j9hnxszc1.webp,3,8,9,9,1.0,adaptive,0.1697,2,0.1107
w9y7j9hnxszc1.webp,3,9,0,4,0.2234,adaptive,0.059,1,0.0282
w9y7j9hnxszc1.webp,4,1,0,1,0.5316,adaptive,0.0735,1,0.0278
w9y7j9hnxszc1.webp,4,2,7,7,0.9999,adaptive,0.1458,2,0.0753
w9y7j9hnxszc1.webp,4,3,1,1,0.9994,adaptive,0.1141,2,0.0686
w9y7j9hnxszc1.webp,4,5,6,6,1.0,adaptive,0.194,3,0.1116
w9y7j9hnxszc1.webp,4,7,0,0,0.489,adaptive,0.0877,1,0.0691
w9y7j9hnxszc1.webp,4,8,8,8,1.0,adaptive,0.1993,3,0.1263
w9y7j9hnxszc1.webp,4,9,9,9,1.0,adaptive,0.1834,3,0.1107
w9y7j9hnxszc1.webp,5,1,0,1,0.6032,adaptive,0.0579,1,0.0266
w9y7j9hnxszc1.webp,5,2,2,2,0.9997,adaptive,0.1462,2,0.1012
w9y7j9hnxszc1.webp,5,3,0,0,0.9807,adaptive,0.045,1,0.0142
w9y7j9hnxszc1.webp,5,5,0,0,0.6753,adaptive,0.0597,1,0.0558
w9y7j9hnxszc1.webp,5,6,8,8,1.0,adaptive,0.1841,2,0.1247
w9y7j9hnxszc1.webp,5,7,0,4,0.499,adaptive,0.0716,2,0.0427
w9y7j9hnxszc1.webp,5,8,0,0,0.6325,adaptive,0.0597,1,0.056
w9y7j9hnxszc1.webp,5,9,0,0,0.5486,adaptive,0.0716,1,0.0682
w9y7j9hnxszc1.webp,6,2,0,1,0.5297,adaptive,0.0556,1,0.0282
w9y7j9hnxszc1.webp,6,4,3,3,1.0,adaptive,0.1807,3,0.1081
w9y7j9hnxszc1.webp,6,5,0,0,0.6753,adaptive,0.0595,1,0.0558
w9y7j9hnxszc1.webp,6,7,2,2,0.9991,adaptive,0.1717,3,0.0999
w9y7j9hnxszc1.webp,6,8,0,0,0.6325,adaptive,0.0597,1,0.056
w9y7j9hnxszc1.webp,6,9,0,0,0.5806,adaptive,0.0684,1,0.0643
w9y7j9hnxszc1.webp,7,1,0,1,0.9525,adaptive,0.0739,1,0.0427
w9y7j9hnxszc1.webp,7,3,0,1,0.9525,adaptive,0.0691,1,0.0427
w9y7j9hnxszc1.webp,7,4,0,0,0.9211,adaptive,0.0888,1,0.0562
w9y7j9hnxszc1.webp,7,5,0,1,0.986,adaptive,0.0721,2,0.0432
w9y7j9hnxszc1.webp,7,6,0,1,0.986,adaptive,0.0723,2,0.0432
w9y7j9hnxszc1.webp,7,7,4,4,1.0,adaptive,0.1938,2,0.1049
w9y7j9hnxszc1.webp,7,9,2,2,0.9995,adaptive,0.1873,3,0.1047
w9y7j9hnxszc1.webp,8,1,0,1,0.9791,adaptive,0.0714,1,0.0397
w9y7j9hnxszc1.webp,8,3,0,1,0.7052,adaptive,0.0565,1,0.0292
w9y7j9hnxszc1.webp,8,6,6,6,1.0,adaptive,0.1843,2,0.1118
w9y7j9hnxszc1.webp,8,8,7,7,0.9999,adaptive,0.1508,2,0.0785
w9y7j9hnxszc1.webp,8,9,8,8,1.0,adaptive,0.211,2,0.1272
w9y7j9hnxszc1.webp,9,1,2,2,0.9997,adaptive,0.1756,2,0.1045
w9y7j9hnxszc1.webp,9,2,0,1,0.9543,adaptive,0.0705,1,0.0409
w9y7j9hnxszc1.webp,9,3,0,1,0.7018,adaptive,0.045,1,0.0278
w9y7j9hnxszc1.webp,9,4,0,1,0.9676,adaptive,0.0852,2,0.0381
w9y7j9hnxszc1.webp,9,5,0,0,0.7439,adaptive,0.0721,1,0.068
w9y7j9hnxszc1.webp,9,6,0,0,0.6831,adaptive,0.0595,1,0.0558
w9y7j9hnxszc1.webp,9,8,1,0,0.5483,adaptive,0.1481,2,0.082
kt8h5700va8c1.webp,1,1,5,5,0.9999,adaptive,0.1724,3,0.0838
kt8h5700va8c1.webp,1,2,2,2,0.9999,adaptive,0.1745,2,0.082
kt8h5700va8c1.webp,1,3,7,7,1.0,adaptive,0.146,2,0.0611
kt8h5700va8c1.webp,1,5,3,3,0.9999,adaptive,0.1678,3,0.0817
kt8h5700va8c1.webp,1,6,4,4,1.0,adaptive,0.1736,3,0.0751
kt8h5700va8c1.webp,2,1,4,4,1.0,adaptive,0.1483,2,0.0758
kt8h5700va8c1.webp,2,2,9,9,1.0,adaptive,0.1747,1,0.0918
kt8h5700va8c1.webp,2,5,2,2,0.9999,adaptive,0.1683,2,0.082
kt8h5700va8c1.webp,2,6,1,1,1.0,adaptive,0.1428,2,0.0579
kt8h5700va8c1.webp,2,7,7,7,0.9999,adaptive,0.1618,2,0.0636
kt8h5700va8c1.webp,2,9,5,5,0.9999,adaptive,0.1439,2,0.0859
kt8h5700va8c1.webp,3,2,1,1,1.0,adaptive,0.1483,1,0.0624
kt8h5700va8c1.webp,3,4,9,9,0.9999,adaptive,0.1894,2,0.0911
kt8h5700va8c1.webp,3,5,5,5,0.9999,adaptive,0.1715,2,0.0843
kt8h5700va8c1.webp,3,6,7,7,0.9999,adaptive,0.1506,3,0.0652
kt8h5700va8c1.webp,4,1,1,1,1.0,adaptive,0.1455,3,0.059
kt8h5700va8c1.webp,4,2,7,7,1.0,adaptive,0.149,2,0.0634
kt8h5700va8c1.webp,4,4,5,5,1.0,adaptive,0.1843,2,0.0872
kt8h5700va8c1.webp,4,5,8,8,1.0,adaptive,0.1924,2,0.0925
kt8h5700va8c1.webp,4,6,2,2,1.0,adaptive,0.1823,3,0.0831
kt8h5700va8c1.webp,4,8,9,9,1.0,adaptive,0.1756,3,0.0902
kt8h5700va8c1.webp,4,9,4,4,1.0,adaptive,0.1485,2,0.0751
kt8h5700va8c1.webp,5,3,2,2,1.0,adaptive,0.1655,2,0.0829
kt8h5700va8c1.webp,5,4,1,0,0.5176,adaptive,0.1472,2,0.0693
kt8h5700va8c1.webp,5,6,3,3,0.9997,adaptive,0.155,2,0.0822
kt8h5700va8c1.webp,5,8,7,7,1.0,adaptive,0.1247,2,0.0647
kt8h5700va8c1.webp,6,4,7,7,1.0,adaptive,0.1481,3,0.0611
kt8h5700va8c1.webp,6,6,6,6,1.0,adaptive,0.1609,3,0.09
kt8h5700va8c1.webp,7,2,3,3,0.9999,adaptive,0.1781,2,0.0817
kt8h5700va8c1.webp,7,4,2,0,0.5828,adaptive,0.1997,2,0.1019
kt8h5700va8c1.webp,7,5,7,0,0.7238,adaptive,0.1616,2,0.0939
kt8h5700va8c1.webp,7,6,8,8,1.0,adaptive,0.1837,2,0.0941
kt8h5700va8c1.webp,7,8,1,1,1.0,adaptive,0.1449,3,0.0599
kt8h5700va8c1.webp,8,1,7,7,1.0,adaptive,0.1607,3,0.0613
kt8h5700va8c1.webp,8,3,1,1,1.0,adaptive,0.1327,2,0.0599
kt8h5700va8c1.webp,8,4,3,3,0.9999,adaptive,0.1697,2,0.081
kt8h5700va8c1.webp,8,5,6,6,1.0,adaptive,0.1687,2,0.0909
kt8h5700va8c1.webp,9,1,2,2,1.0,adaptive,0.183,3,0.0831
kt8h5700va8c1.webp,9,4,4,0,0.7029,adaptive,0.177,2,0.0824
kt8h5700va8c1.webp,9,5,1,0,0.7062,adaptive,0.1476,2,0.0829
kt8h5700va8c1.webp,9,9,7,0,0.7406,adaptive,0.1515,2,0.0817
ju8gg6b80v0d1.webp,1,1,0,0,0.9866,adaptive,0.0588,0,0.0
ju8gg6b80v0d1.webp,1,2,0,0,0.9866,adaptive,0.0303,0,0.0
ju8gg6b80v0d1.webp,1,3,0,0,0.9866,adaptive,0.0303,0,0.0
ju8gg6b80v0d1.webp,1,4,2,2,0.9996,adaptive,0.1623,2,0.0886
ju8gg6b80v0d1.webp,1,5,0,0,0.304,adaptive,0.0436,1,0.0129
ju8gg6b80v0d1.webp,1,6,0,6,0.2841,adaptive,0.0448,1,0.014
ju8gg6b80v0d1.webp,1,7,0,4,0.499,adaptive,0.0732,1,0.0427
ju8gg6b80v0d1.webp,1,8,0,0,0.5656,adaptive,0.0438,1,0.0131
ju8gg6b80v0d1.webp,1,9,0,0,0.5656,adaptive,0.0438,1,0.0131
ju8gg6b80v0d1.webp,2,1,0,0,0.9866,adaptive,0.0303,0,0.0
ju8gg6b80v0d1.webp,2,2,0,0,0.9866,adaptive,0.0009,0,0.0
ju8gg6b80v0d1.webp,2,3,8,8,1.0,adaptive,0.11,1,0.109
ju8gg6b80v0d1.webp,2,4,0,5,0.3169,adaptive,0.0455,1,0.0285
ju8gg6b80v0d1.webp,2,5,0,0,0.2781,adaptive,0.0149,1,0.0135
ju8gg6b80v0d1.webp,2,6,7,7,0.9999,adaptive,0.0845,3,0.0693
ju8gg6b80v0d1.webp,2,7,3,3,1.0,adaptive,0.1251,2,0.0797
ju8gg6b80v0d1.webp,2,8,0,0,0.2226,adaptive,0.0158,1,0.0142
ju8gg6b80v0d1.webp,2,9,0,0,0.2226,adaptive,0.0158,1,0.0142
ju8gg6b80v0d1.webp,3,1,6,6,1.0,adaptive,0.1297,1,0.0994
ju8gg6b80v0d1.webp,3,2,7,7,1.0,adaptive,0.0696,1,0.0686
ju8gg6b80v0d1.webp,3,3,0,0,0.9866,adaptive,0.0009,0,0.0
ju8gg6b80v0d1.webp,3,4,0,5,0.3169,adaptive,0.0455,1,0.0285
ju8gg6b80v0d1.webp,3,5,0,0,0.2831,adaptive,0.0147,1,0.0133
ju8gg6b80v0d1.webp,3,6,9,9,1.0,adaptive,0.115,2,0.1001
ju8gg6b80v0d1.webp,3,7,0,4,0.499,adaptive,0.0455,1,0.0427
ju8gg6b80v0d1.webp,3,8,0,0,0.2226,adaptive,0.0158,1,0.0142
ju8gg6b80v0d1.webp,3,9,0,0,0.2226,adaptive,0.0158,1,0.0142
ju8gg6b80v0d1.webp,4,1,0,1,0.5059,adaptive,0.0735,1,0.0285
ju8gg6b80v0d1.webp,4,2,0,1,0.5059,adaptive,0.0455,1,0.0285
ju8gg6b80v0d1.webp,4,3,0,1,0.5059,adaptive,0.0455,1,0.0285
ju8gg6b80v0d1.webp,4,4,0,0,0.6798,adaptive,0.0884,1,0.0556
ju8gg6b80v0d1.webp,4,5,0,1,0.5059,adaptive,0.0581,2,0.0285
ju8gg6b80v0d1.webp,4,6,0,1,0.5059,adaptive,0.0583,2,0.0285
ju8gg6b80v0d1.webp,4,7,0,0,0.4998,adaptive,0.0884,1,0.0696
ju8gg6b80v0d1.webp,4,8,7,7,0.9998,adaptive,0.1272,3,0.0684
ju8gg6b80v0d1.webp,4,9,0,1,0.5059,adaptive,0.0592,2,0.0285
ju8gg6b80v0d1.webp,5,1,4,4,1.0,adaptive,0.1189,2,0.0753
ju8gg6b80v0d1.webp,5,2,5,5,1.0,adaptive,0.0966,3,0.081
ju8gg6b80v0d1.webp,5,3,0,0,0.9801,adaptive,0.0156,2,0.0138
ju8gg6b80v0d1.webp,5,4,0,5,0.3169,adaptive,0.0583,2,0.0285
ju8gg6b80v0d1.webp,5,5,9,9,1.0,adaptive,0.1258,4,0.0966
ju8gg6b80v0d1.webp,5,6,0,0,0.9783,adaptive,0.0298,2,0.0147
ju8gg6b80v0d1.webp,5,7,0,4,0.499,adaptive,0.0581,2,0.0427
ju8gg6b80v0d1.webp,5,8,0,6,0.1612,adaptive,0.0296,2,0.0147
ju8gg6b80v0d1.webp,5,9,0,6,0.1612,adaptive,0.0294,2,0.0147
ju8gg6b80v0d1.webp,6,1,0,1,0.3662,adaptive,0.0556,1,0.0243
ju8gg6b80v0d1.webp,6,2,2,2,0.9995,adaptive,0.1141,3,0.0868
ju8gg6b80v0d1.webp,6,3,3,3,1.0,adaptive,0.0983,3,0.0781
ju8gg6b80v0d1.webp,6,4,5,5,1.0,adaptive,0.14,3,0.0815
ju8gg6b80v0d1.webp,6,5,0,0,0.8956,adaptive,0.0292,3,0.0135
ju8gg6b80v0d1.webp,6,6,0,0,0.9094,adaptive,0.0303,2,0.0154
ju8gg6b80v0d1.webp,6,7,0,4,0.499,adaptive,0.0581,2,0.0427
ju8gg6b80v0d1.webp,6,8,0,6,0.1451,adaptive,0.0315,2,0.0156
ju8gg6b80v0d1.webp,6,9,9,9,1.0,adaptive,0.1276,2,0.0969
ju8gg6b80v0d1.webp,7,1,0,1,0.9525,adaptive,0.0735,1,0.0427
ju8gg6b80v0d1.webp,7,2,0,1,0.9525,adaptive,0.0455,1,0.0427
ju8gg6b80v0d1.webp,7,3,0,1,0.9525,adaptive,0.0455,1,0.0427
ju8gg6b80v0d1.webp,7,4,3,3,1.0,adaptive,0.1786,2,0.0781
ju8gg6b80v0d1.webp,7,5,4,4,1.0,adaptive,0.1325,3,0.0758
ju8gg6b80v0d1.webp,7,6,0,1,0.9525,adaptive,0.0689,2,0.0427
ju8gg6b80v0d1.webp,7,7,0,0,0.7056,adaptive,0.0888,1,0.0833
ju8gg6b80v0d1.webp,7,8,9,9,1.0,adaptive,0.1577,3,0.0996
ju8gg6b80v0d1.webp,7,9,8,8,1.0,adaptive,0.1657,3,0.1074
ju8gg6b80v0d1.webp,8,1,0,0,0.9117,adaptive,0.0438,1,0.0131
ju8gg6b80v0d1.webp,8,2,3,3,1.0,adaptive,0.0932,2,0.0774
ju8gg6b80v0d1.webp,8,3,0,0,0.8274,adaptive,0.0161,1,0.0142
ju8gg6b80v0d1.webp,8,4,0,5,0.3169,adaptive,0.0732,2,0.0285
ju8gg6b80v0d1.webp,8,5,7,7,0.9998,adaptive,0.0985,3,0.07
ju8gg6b80v0d1.webp,8,6,0,4,0.2979,adaptive,0.0425,2,0.0253
ju8gg6b80v0d1.webp,8,7,0,4,0.499,adaptive,0.0583,2,0.0427
ju8gg6b80v0d1.webp,8,8,0,0,0.9117,adaptive,0.0303,3,0.0131
ju8gg6b80v0d1.webp,8,9,0,0,0.918,adaptive,0.0308,1,0.0289
ju8gg6b80v0d1.webp,9,1,0,0,0.9117,adaptive,0.0438,1,0.0131
ju8gg6b80v0d1.webp,9,2,0,0,0.8274,adaptive,0.0158,1,0.0142
ju8gg6b80v0d1.webp,9,3,4,4,1.0,adaptive,0.0909,3,0.0753
ju8gg6b80v0d1.webp,9,4,6,6,1.0,adaptive,0.171,3,0.0973
ju8gg6b80v0d1.webp,9,5,0,0,0.9361,adaptive,0.0285,2,0.0147
ju8gg6b80v0d1.webp,9,6,0,4,0.3354,adaptive,0.0427,2,0.0253
ju8gg6b80v0d1.webp,9,7,0,4,0.499,adaptive,0.0583,2,0.0427
ju8gg6b80v0d1.webp,9,8,0,0,0.9209,adaptive,0.0301,2,0.0152
ju8gg6b80v0d1.webp,9,9,2,2,0.9993,adaptive,0.1166,2,0.0859
wnijnnxmeyzc1.webp,1,3,5,5,1.0,adaptive,0.1169,1,0.0865
wnijnnxmeyzc1.webp,1,4,4,4,1.0,adaptive,0.1345,2,0.0755
wnijnnxmeyzc1.webp,1,5,8,8,1.0,adaptive,0.1359,2,0.1079
wnijnnxmeyzc1.webp,1,6,3,3,1.0,adaptive,0.1205,2,0.0794
wnijnnxmeyzc1.webp,1,9,6,6,1.0,adaptive,0.1412,2,0.0994
wnijnnxmeyzc1.webp,2,7,3,3,1.0,adaptive,0.1396,2,0.079
wnijnnxmeyzc1.webp,2,8,4,4,1.0,adaptive,0.0932,2,0.0781
wnijnnxmeyzc1.webp,3,1,7,7,0.9998,adaptive,0.0987,1,0.0682
wnijnnxmeyzc1.webp,3,2,4,4,1.0,adaptive,0.0971,1,0.082
wnijnnxmeyzc1.webp,3,3,3,3,1.0,adaptive,0.1141,1,0.081
wnijnnxmeyzc1.webp,3,5,1,1,1.0,adaptive,0.0916,2,0.0636
wnijnnxmeyzc1.webp,4,1,3,3,1.0,adaptive,0.1391,2,0.0801
wnijnnxmeyzc1.webp,4,2,9,9,1.0,adaptive,0.1476,2,0.1022
wnijnnxmeyzc1.webp,4,3,4,4,1.0,adaptive,0.1391,2,0.0771
wnijnnxmeyzc1.webp,4,4,2,2,0.9996,adaptive,0.1763,2,0.0875
wnijnnxmeyzc1.webp,4,5,6,6,1.0,adaptive,0.157,4,0.0999
wnijnnxmeyzc1.webp,4,6,7,7,0.9999,adaptive,0.1421,3,0.0709
wnijnnxmeyzc1.webp,5,5,9,9,1.0,adaptive,0.1428,3,0.0992
wnijnnxmeyzc1.webp,5,9,7,7,0.9998,adaptive,0.1054,4,0.0682
wnijnnxmeyzc1.webp,6,1,6,6,1.0,adaptive,0.1295,2,0.0989
wnijnnxmeyzc1.webp,6,2,5,5,1.0,adaptive,0.1001,2,0.0849
wnijnnxmeyzc1.webp,6,3,7,7,0.9999,adaptive,0.1051,2,0.073
wnijnnxmeyzc1.webp,6,4,8,8,1.0,adaptive,0.1963,2,0.107
wnijnnxmeyzc1.webp,6,6,1,1,0.9999,adaptive,0.1063,3,0.0636
wnijnnxmeyzc1.webp,7,1,4,4,1.0,adaptive,0.1543,2,0.0808
wnijnnxmeyzc1.webp,7,3,9,9,1.0,adaptive,0.1742,2,0.1008
wnijnnxmeyzc1.webp,7,6,8,8,1.0,adaptive,0.1951,3,0.1102
wnijnnxmeyzc1.webp,8,1,8,8,1.0,adaptive,0.1524,2,0.1104
wnijnnxmeyzc1.webp,8,2,7,7,0.9999,adaptive,0.0985,2,0.0682
wnijnnxmeyzc1.webp,8,3,6,6,1.0,adaptive,0.1407,2,0.0994
wnijnnxmeyzc1.webp,8,6,9,9,1.0,adaptive,0.1582,3,0.101
wnijnnxmeyzc1.webp,8,9,5,5,1.0,adaptive,0.1389,5,0.0829
wnijnnxmeyzc1.webp,9,1,5,5,1.0,adaptive,0.1166,2,0.0868
wnijnnxmeyzc1.webp,9,7,9,9,1.0,adaptive,0.1719,3,0.0987
wnijnnxmeyzc1.webp,9,8,8,8,1.0,adaptive,0.1364,2,0.1056
xlqt9nwk960d1.webp,1,2,7,7,0.9999,adaptive,0.1405,2,0.0675
xlqt9nwk960d1.webp,1,4,3,3,0.9998,adaptive,0.1618,5,0.0877
xlqt9nwk960d1.webp,1,5,4,4,1.0,adaptive,0.155,6,0.0797
xlqt9nwk960d1.webp,1,8,2,2,0.9999,adaptive,0.1628,12,0.0856
xlqt9nwk960d1.webp,1,9,9,9,1.0,adaptive,0.1639,5,0.0944
xlqt9nwk960d1.webp,2,1,2,2,0.9997,adaptive,0.1467,3,0.084
xlqt9nwk960d1.webp,2,3,4,4,1.0,adaptive,0.1357,8,0.0794
xlqt9nwk960d1.webp,2,5,7,7,1.0,adaptive,0.1173,9,0.0696
xlqt9nwk960d1.webp,2,8,5,5,1.0,adaptive,0.1478,12,0.0921
xlqt9nwk960d1.webp,3,2,8,8,1.0,adaptive,0.141,6,0.098
xlqt9nwk960d1.webp,3,3,9,9,1.0,adaptive,0.1419,7,0.0955
xlqt9nwk960d1.webp,3,4,2,2,0.9999,adaptive,0.1373,18,0.0852
xlqt9nwk960d1.webp,3,6,6,6,1.0,adaptive,0.1398,8,0.0944
xlqt9nwk960d1.webp,3,8,4,4,1.0,adaptive,0.1435,4,0.0831
xlqt9nwk960d1.webp,4,2,9,9,1.0,adaptive,0.1669,7,0.0927
xlqt9nwk960d1.webp,4,3,7,7,0.9999,adaptive,0.1423,6,0.0686
